Title,Rating,Votes,Genre,Duration
The Unholy Trinity,6.1,356,"Action, Adventure, Crime, Drama, Western",95
Gladiator II,6.5,251000,"Action Epic, Adventure Epic, Epic, Period Drama, Sword & Sandal, Action, Adventure, Drama",148
Dune: Part Two,8.5,641000,"Action Epic, Desert Adventure, Epic, Sci-Fi Epic, Space Sci-Fi, Action, Adventure, Drama, Sci-Fi",166
Venom: The Last Dance,6.0,129000,"Alien Invasion, Kaiju, Road Trip, Superhero, Action, Adventure, Sci-Fi, Thriller",110
The Beekeeper,6.3,161000,"Conspiracy Thriller, One-Person Army Action, Political Thriller, Action, Crime, Thriller",105
Civil War,7.0,243000,"Political Thriller, Road Trip, Action, Thriller",109
Twisters,6.5,175000,"Disaster, Action, Adventure, Thriller",122
The Ministry of Ungentlemanly Warfare,6.8,139000,"War Epic, Action, Comedy, War",122
Deadpool & Wolverine,7.5,506000,"Buddy Comedy, Dark Comedy, Raunchy Comedy, Superhero, Action, Adventure, Comedy, Sci-Fi",128
Kraven the Hunter,5.5,62000,"One-Person Army Action, Superhero, Action, Adventure, Thriller",127
Carry-On,6.5,171000,"Conspiracy Thriller, One-Person Army Action, Action, Crime, Holiday, Thriller",119
The Fall Guy,6.8,226000,"Action, Comedy, Drama, Romance",126
Furiosa: A Mad Max Saga,7.5,291000,"Action Epic, Car Action, Desert Adventure, Dystopian Sci-Fi, Action, Adventure, Sci-Fi",148
Madame Web,4.1,103000,"Superhero, Action, Thriller",116
Freaky Tales,6.2,7100,"Action, Adventure, Comedy, Crime, Drama",107
Cells at Work!,6.7,672,"Action, Adventure, Comedy, Fantasy",0
Sonic the Hedgehog 3,6.9,64000,"Animal Adventure, Fantasy Epic, Globetrotting Adventure, Superhero, Supernatural Fantasy, Action, Adventure, Comedy, Family, Fantasy",110
The Count of Monte-Cristo,7.6,37000,"Period Drama, Swashbuckler, Action, Adventure, Drama, Romance, Thriller",0
Dirty Angels,4.4,3900,"Action, Drama, Thriller, War",104
Rebel Ridge,6.8,91000,"One-Person Army Action, Action, Crime, Drama, Thriller",131
Fight or Flight,6.4,14000,"Martial Arts, One-Person Army Action, Action, Comedy",102
Borderlands,4.7,50000,"Action Epic, Adventure Epic, Dark Comedy, Quest, Space Sci-Fi, Action, Adventure, Comedy, Sci-Fi, Thriller",101
