Title,Rating,Votes,Genre,Duration
Flow,7.9,83000,"Animal Adventure, Computer Animation, Survival, Adventure, Animation, Family, Fantasy",85
Mufasa: The Lion King,6.6,70000,"Animal Adventure, Computer Animation, Adventure, Animation, Drama, Family, Musical",118
Moana 2,6.6,109000,"Computer Animation, Sea Adventure, Adventure, Animation, Comedy, Family, Fantasy, Musical",100
Paddington in Peru,6.7,25000,"Animal Adventure, Jungle Adventure, Adventure, Animation, Comedy, Family, Mystery",106
Ghostbusters: Frozen Empire,6.1,95000,"Supernatural Fantasy, Adventure, Comedy, Fantasy, Sci-Fi",115
Inside Out 2,7.5,222000,"Coming-of-Age, Computer Animation, Quest, Teen Comedy, Teen Drama, Adventure, Animation, Comedy, Drama, Family",96
The Return,6.2,10000,"Psychological Drama, Tragedy, Adventure, Drama, History",116
Despicable Me 4,6.2,68000,"Computer Animation, Urban Adventure, Adventure, Animation, Comedy, Crime, Family, Sci-Fi",94
The Day the Earth Blew Up: A Looney Tunes Movie,6.9,5400,"Alien Invasion, Buddy Comedy, Farce, Hand-Drawn Animation, Quirky Comedy, Slapstick, Adventure, Animation, Comedy, Family",91
Harold and the Purple Crayon,5.7,8800,"High-Concept Comedy, Adventure, Animation, Comedy, Family, Fantasy",90
Spaceman,5.7,44000,"Space Sci-Fi, Adventure, Drama, Sci-Fi",107
Monster Summer,5.7,4100,"Adventure, Fantasy, Mystery",97
The Garfield Movie,5.7,25000,"Animal Adventure, Computer Animation, Farce, Adventure, Animation, Comedy, Family, Fantasy",101
Spellbound,5.5,7800,"Computer Animation, Pop Musical, Adventure, Animation, Comedy, Family, Fantasy, Musical",109
Arthur the King,7.0,35000,"Extreme Sport, Adventure, Drama, Sport",107
Sketch,8.4,67,"Adventure, Comedy, Fantasy",92
Wallace & Gromit: Vengeance Most Fowl,7.5,36000,"Animal Adventure, Artificial Intelligence, Buddy Comedy, Farce, Slapstick, Stop Motion Animation, Adventure, Animation, Comedy, Family",82
