Title,Rating,Votes,Genre,Duration
A Complete Unknown,7.3,91000,"Docudrama, Period Drama, Showbiz Drama, Biography, Drama, Music",141
I'm Still Here,8.2,112000,"Docudrama, Period Drama, Political Drama, Biography, Drama, History",137
Better Man,7.6,31000,"Docudrama, Psychological Drama, Biography, Fantasy, Music, Musical",135
The Apprentice,7.1,60000,"Docudrama, Period Drama, Biography, Drama, History",122
Saturday Night,6.9,33000,"Docudrama, Period Drama, Showbiz Drama, Biography, Comedy, Drama, History",109
Queer,6.4,23000,"Period Drama, Biography, Drama, History, Romance",137
Maria,6.4,21000,"Period Drama, Tragedy, Biography, Drama, Music",124
Queen of the Ring,6.4,2000,"Docudrama, Period Drama, Biography, Drama, Sport",129
Ordinary Angels,7.4,16000,"Biography, Drama",118
Nr. 24,7.5,16000,"Docudrama, Epic, Period Drama, Biography, Drama, War",0
The Bibi Files,7.5,1300,"Biography, Documentary",0
Young Woman and the Sea,7.5,18000,"Water Sport, Biography, Drama, Romance, Sport",129
Back to Black,6.3,27000,"Docudrama, Biography, Drama, Music",122
The Fire Inside,6.7,3000,"Boxing, Docudrama, Biography, Drama, Sport",109
Reagan,6.1,12000,"Docudrama, Biography, Drama, History",141
The Beach Boys,7.1,2200,"Music Documentary, Biography, Documentary, Music",113
