Title,Rating,Votes,Genre,Duration
The Order,6.8,49000,"Heist, True Crime, Crime, Drama, Thriller",116
Longlegs,6.6,193000,"Psychological Horror, Psychological Thriller, Serial Killer, Supernatural Horror, Crime, Horror, Mystery, Thriller",101
Trap,5.8,145000,"Psychological Horror, Psychological Thriller, Serial Killer, Crime, Horror, Mystery, Thriller",105
Juror #2,7.0,104000,"Legal Drama, Legal Thriller, Whodunnit, Crime, Drama, Mystery, Thriller",114
Wolfs,6.5,87000,"Conspiracy Thriller, Gangster, Crime, Thriller",108
MaXXXine,6.2,74000,"Serial Killer, Slasher Horror, Crime, Horror",103
The Seed of the Sacred Fig,7.6,15000,"Political Drama, Political Thriller, Psychological Drama, Crime, Drama, Thriller",167
Love Lies Bleeding,6.6,58000,"Dark Romance, Drug Crime, Erotic Thriller, Crime, Drama, Mystery, Romance, Thriller",104
Lucky Baskhar,8.0,34000,"Caper, Crime, Drama, Thriller",148
Emilia Pérez,5.4,91000,"Pop Musical, Crime, Drama, Musical, Thriller",132
The Girl with the Needle,7.5,15000,"Period Drama, Crime, Drama, History",123
Barron's Cove,6.1,143,"Crime, Drama, Thriller",116
Sleeping Dogs,6.2,22000,"Suspense Mystery, Crime, Mystery, Thriller",110
Beating Hearts,7.0,5900,"Coming-of-Age, Tragic Romance, Crime, Drama, Romance",0
Dead Mail,6.0,2000,"Crime, Drama, Horror, Thriller",106
