Title,Rating,Votes,Genre,Duration
The Life of Chuck,7.7,4700,"Drama, Fantasy, Sci-Fi",111
The Substance,7.2,316000,"Body Horror, Dark Comedy, Monster Horror, Psychological Horror, Showbiz Drama, Drama, Horror, Sci-Fi",141
Conclave,7.4,200000,"Conspiracy Thriller, Drama, Thriller",120
The Brutalist,7.3,92000,"Epic, Drama",216
Parthenope,6.6,14000,"Coming-of-Age, Drama, Fantasy",137
Presence,6.1,28000,"Psychological Drama, Psychological Horror, Psychological Thriller, Drama, Horror, Thriller",84
The Assessment,6.6,11000,"Dystopian Sci-Fi, Psychological Drama, Drama, Sci-Fi",114
Babygirl,5.8,63000,"Erotic Thriller, Workplace Drama, Drama, Romance, Thriller",114
The Shrouds,5.9,3200,"Body Horror, Drama, Horror, Sci-Fi, Thriller",120
Speak No Evil,6.8,109000,"Psychological Drama, Psychological Horror, Psychological Thriller, Drama, Horror, Thriller",110
The Salt Path,7.0,2000,"Docudrama, Psychological Drama, Tragedy, Drama",0
We Live in Time,7.0,56000,"Feel-Good Romance, Drama, Romance",108
Small Things Like These,6.7,27000,"Period Drama, Drama, History",98
It Ends with Us,6.3,88000,"Drama, Romance",130
Caddo Lake,6.8,45000,"Time Travel, Whodunnit, Drama, Mystery, Sci-Fi, Thriller",103
The Last Showgirl,6.5,14000,"Workplace Drama, Drama",88
Joker: Folie à Deux,5.2,165000,"Jukebox Musical, Prison Drama, Psychological Drama, Psychological Thriller, Drama, Musical, Thriller",138
Suncoast,6.7,7500,"Coming-of-Age, Drama",109
September 5,7.1,26000,"Docudrama, Period Drama, Tragedy, Drama, History, Thriller",95
On Swift Horses,6.0,2200,"Drama, Romance",119
A Quiet Place: Day One,6.3,154000,"Alien Invasion, Monster Horror, Drama, Horror, Sci-Fi, Thriller",99
Megalopolis,4.7,37000,"Epic, Sci-Fi Epic, Tragedy, Drama, Fantasy, Sci-Fi",138
The Wailing,6.1,1500,"Supernatural Horror, Drama, Horror",0
The Penguin Lessons,7.1,4100,Drama,111
Rust,5.4,2500,"Drama, Western",139
The Six Triple Eight,6.7,28000,"Period Drama, Drama, History, War",127
Horizon: An American Saga - Chapter 1,6.6,41000,"Epic, Western Epic, Drama, Western",181
The Room Next Door,6.8,22000,"Psychological Drama, Drama",107
I Saw the TV Glow,5.8,38000,"Coming-of-Age, Psychological Drama, Suspense Mystery, Drama, Mystery",100
Here,6.3,23000,"Coming-of-Age, Drama",104
Restless,6.3,437,"Drama, Thriller",0
The Outrun,6.9,17000,"Psychological Drama, Drama",118
The Damned,5.7,5500,"Folk Horror, Drama, Horror, Mystery",89
The Ghost Trap,6.5,105,"Workplace Drama, Drama",0
Horizon: An American Saga - Chapter 2,7.1,1400,"Western Epic, Drama, Western",0
Turtles All the Way Down,6.6,7400,"Coming-of-Age, Psychological Drama, Drama, Mystery, Romance",111
Young Hearts,7.9,5500,"Coming-of-Age, Drama, Family, Romance",0
Vermiglio,6.9,4800,"Period Drama, Drama, History",119
Ask Me What You Want,3.9,1200,"Drama, Romance, Thriller",0
Nickel Boys,6.9,20000,"Coming-of-Age, Tragedy, Drama",140
Winter Spring Summer or Fall,6.1,2900,"Coming-of-Age, Drama, Romance",97
The Deliverance,5.1,23000,"Supernatural Horror, Drama, Horror, Mystery, Thriller",112
Here After,4.1,1700,"Drama, Horror, Thriller",93
Ponyboi,5.8,327,"Coming-of-Age, Drama",103
In a Violent Nature,5.6,27000,"Body Horror, Slasher Horror, Teen Horror, Drama, Horror, Thriller",94
All of You,7.4,84,Drama,98
Emmanuelle,4.1,1900,"Steamy Romance, Drama, Romance",0
All We Imagine as Light,7.1,11000,"Psychological Drama, Drama, Romance",118
Vulcanizadora,6.3,255,Drama,0
An Unfinished Film,7.3,1000,Drama,0
Culpa Tuya,5.2,14000,"Drama, Romance",0
Mothers' Instinct,6.3,21000,"Psychological Thriller, Drama, Thriller",94
Bird,7.0,9400,"Coming-of-Age, Drama",119
Kryptic,4.1,587,"Drama, Horror, Mystery, Thriller",102
Bring Them Down,6.5,4100,"Psychological Thriller, Drama, Thriller",106
The End,5.5,2300,"Dystopian Sci-Fi, Drama, Fantasy, Musical, Sci-Fi",148
Mr. K,5.5,1000,"Psychological Drama, Suspense Mystery, Drama, Mystery",0
Unstoppable,6.8,4400,"Docudrama, Drama, Sport",116
Armand,6.2,3200,"Psychological Drama, Drama",118
Lonely Planet,5.7,12000,"Drama, Romance",94
Die Alone,5.8,3900,"Zombie Horror, Drama, Horror, Mystery, Romance, Sci-Fi, Thriller",90
Meiyazhagan,8.4,15000,"Coming-of-Age, Period Drama, Drama, Family",177
Dreams (Sex Love),7.6,711,"Coming-of-Age, Psychological Drama, Drama, Romance",0
Souleymane's Story,7.6,3900,Drama,0
Girls Will Be Girls,7.1,2700,"Coming-of-Age, Drama, Romance",118
A Mistake,5.6,1000,"Medical Drama, Workplace Drama, Drama, Thriller",0
La cocina,7.1,3600,"Dark Comedy, Psychological Drama, Drama, Romance",139
Notice to Quit,5.8,559,Drama,91
Way Home,6.4,1400,"Political Thriller, Psychological Drama, Drama, Thriller",0
Lollipop,7.7,76,Drama,0
