Title,Rating,Votes,Genre,Duration
Heretic,7.0,159000,"Psychological Horror, Psychological Thriller, Horror, Thriller",111
Alien: Romulus,7.1,253000,"Monster Horror, Space Sci-Fi, Horror, Sci-Fi, Thriller",119
Smile 2,6.7,113000,"Psychological Horror, Showbiz Drama, Supernatural Horror, Tragedy, Horror, Mystery, Thriller",127
Abigail,6.5,100000,"Dark Comedy, Monster Horror, Splatter Horror, Vampire Horror, Horror, Thriller",109
Outbreak,4.4,1100,"Horror, Mystery, Thriller",0
Oddity,6.7,46000,"Supernatural Horror, Horror, Thriller",98
Terrifier 3,6.3,51000,"Body Horror, Dark Comedy, Slasher Horror, Splatter Horror, Supernatural Horror, Teen Horror, Holiday, Horror",125
Bleeding,4.4,254,Horror,0
Salem's Lot,5.6,35000,"Supernatural Horror, Vampire Horror, Horror, Thriller",114
Immaculate,5.8,54000,"Body Horror, Supernatural Horror, Horror, Thriller",89
Time Cut,5.0,20000,"Dark Comedy, Slasher Horror, Teen Horror, Time Travel, Whodunnit, Horror, Mystery, Sci-Fi, Thriller",91
Cuckoo,5.7,29000,"Body Horror, Teen Horror, Horror, Mystery, Thriller",102
Don't Move,5.8,40000,"Psychological Horror, Psychological Thriller, Survival, Horror, Thriller",92
The Rule of Jenny Pen,6.2,5800,"Psychological Horror, Psychological Thriller, Horror, Mystery, Thriller",104
The First Omen,6.5,66000,"Body Horror, Supernatural Horror, Horror",119
Chime,6.4,2600,"Horror, Thriller",0
Bogieville,3.9,485,"Vampire Horror, Horror",108
MadS,6.4,8700,"Body Horror, Teen Horror, Zombie Horror, Horror, Thriller",89
Saint Clare,7.3,103,"Horror, Mystery, Thriller",0
Tarot,4.8,33000,"Slasher Horror, Supernatural Horror, Teen Horror, Horror",92
The Twin,8.5,51,Horror,0
Apartment 7A,5.9,17000,"Psychological Horror, Psychological Thriller, Horror, Thriller",107
Exhuma,6.9,24000,"Folk Horror, Supernatural Horror, Horror, Mystery",0
Never Let Go,5.4,16000,"Supernatural Horror, Horror, Thriller",101
Interlopers,5.4,39,"Zombie Horror, Horror",0
The Severed Sun,4.9,301,Horror,0
Witchboard,7.6,103,"Supernatural Horror, Witch Horror, Horror, Mystery",115
Shelby Oaks,5.8,256,"Horror, Thriller",0
Saint Catherine,3.6,224,Horror,0
Night Swim,4.7,28000,"Supernatural Horror, Horror, Mystery, Thriller",98
The Strangers: Chapter 1,4.6,23000,"Psychological Horror, Slasher Horror, Horror",91
Humane,5.5,7500,"Political Thriller, Horror, Thriller",93
