Title,Rating,Votes,Genre,Duration
The Life of Chuck,7.7,4700,"Drama, Fantasy, Sci-Fi",111
Friendship,7.2,9400,Comedy,100
Heretic,7.0,159000,"Psychological Horror, Psychological Thriller, Horror, Thriller",111
Anora,7.5,202000,"Dark Comedy, Raunchy Comedy, Steamy Romance, Comedy, Drama, Romance",139
The Surfer,6.1,7700,"Psychological Thriller, Thriller",100
The Substance,7.2,316000,"Body Horror, Dark Comedy, Monster Horror, Psychological Horror, Showbiz Drama, Drama, Horror, Sci-Fi",141
The Unholy Trinity,6.1,356,"Action, Adventure, Crime, Drama, Western",95
Conclave,7.4,200000,"Conspiracy Thriller, Drama, Thriller",120
Gladiator II,6.5,251000,"Action Epic, Adventure Epic, Epic, Period Drama, Sword & Sandal, Action, Adventure, Drama",148
The Brutalist,7.3,92000,"Epic, Drama",216
The Wild Robot,8.2,180000,"Artificial Intelligence, Computer Animation, Survival, Animation, Sci-Fi",102
A Complete Unknown,7.3,91000,"Docudrama, Period Drama, Showbiz Drama, Biography, Drama, Music",141
Nosferatu,7.2,209000,"Dark Fantasy, Supernatural Horror, Vampire Horror, Fantasy, Horror, Mystery",132
Wicked,7.4,167000,"Fairy Tale, Pop Musical, Fantasy, Musical, Romance",160
Parthenope,6.6,14000,"Coming-of-Age, Drama, Fantasy",137
Presence,6.1,28000,"Psychological Drama, Psychological Horror, Psychological Thriller, Drama, Horror, Thriller",84
The Assessment,6.6,11000,"Dystopian Sci-Fi, Psychological Drama, Drama, Sci-Fi",114
Babygirl,5.8,63000,"Erotic Thriller, Workplace Drama, Drama, Romance, Thriller",114
Dune: Part Two,8.5,641000,"Action Epic, Desert Adventure, Epic, Sci-Fi Epic, Space Sci-Fi, Action, Adventure, Drama, Sci-Fi",166
Venom: The Last Dance,6.0,129000,"Alien Invasion, Kaiju, Road Trip, Superhero, Action, Adventure, Sci-Fi, Thriller",110
The Beekeeper,6.3,161000,"Conspiracy Thriller, One-Person Army Action, Political Thriller, Action, Crime, Thriller",105
Civil War,7.0,243000,"Political Thriller, Road Trip, Action, Thriller",109
Twisters,6.5,175000,"Disaster, Action, Adventure, Thriller",122
The Shrouds,5.9,3200,"Body Horror, Drama, Horror, Sci-Fi, Thriller",120
Speak No Evil,6.8,109000,"Psychological Drama, Psychological Horror, Psychological Thriller, Drama, Horror, Thriller",110
The Ministry of Ungentlemanly Warfare,6.8,139000,"War Epic, Action, Comedy, War",122
Deadpool & Wolverine,7.5,506000,"Buddy Comedy, Dark Comedy, Raunchy Comedy, Superhero, Action, Adventure, Comedy, Sci-Fi",128
Alien: Romulus,7.1,253000,"Monster Horror, Space Sci-Fi, Horror, Sci-Fi, Thriller",119
A Real Pain,7.1,104000,"Buddy Comedy, Comedy, Drama",90
I'm Still Here,8.2,112000,"Docudrama, Period Drama, Political Drama, Biography, Drama, History",137
Kraven the Hunter,5.5,62000,"One-Person Army Action, Superhero, Action, Adventure, Thriller",127
The Order,6.8,49000,"Heist, True Crime, Crime, Drama, Thriller",116
Longlegs,6.6,193000,"Psychological Horror, Psychological Thriller, Serial Killer, Supernatural Horror, Crime, Horror, Mystery, Thriller",101
Flow,7.9,83000,"Animal Adventure, Computer Animation, Survival, Adventure, Animation, Family, Fantasy",85
Mufasa: The Lion King,6.6,70000,"Animal Adventure, Computer Animation, Adventure, Animation, Drama, Family, Musical",118
Moana 2,6.6,109000,"Computer Animation, Sea Adventure, Adventure, Animation, Comedy, Family, Fantasy, Musical",100
Beetlejuice Beetlejuice,6.6,154000,"Body Horror, Dark Comedy, Dark Fantasy, Slapstick, Supernatural Fantasy, Supernatural Horror, Comedy, Fantasy, Horror",105
Carry-On,6.5,171000,"Conspiracy Thriller, One-Person Army Action, Action, Crime, Holiday, Thriller",119
Smile 2,6.7,113000,"Psychological Horror, Showbiz Drama, Supernatural Horror, Tragedy, Horror, Mystery, Thriller",127
Eden,6.6,1600,"Psychological Thriller, Thriller",120
The Salt Path,7.0,2000,"Docudrama, Psychological Drama, Tragedy, Drama",0
My Old Ass,6.9,41000,"Coming-of-Age, Comedy, Drama, Romance",89
The Fall Guy,6.8,226000,"Action, Comedy, Drama, Romance",126
Furiosa: A Mad Max Saga,7.5,291000,"Action Epic, Car Action, Desert Adventure, Dystopian Sci-Fi, Action, Adventure, Sci-Fi",148
We Live in Time,7.0,56000,"Feel-Good Romance, Drama, Romance",108
Trap,5.8,145000,"Psychological Horror, Psychological Thriller, Serial Killer, Crime, Horror, Mystery, Thriller",105
Madame Web,4.1,103000,"Superhero, Action, Thriller",116
Small Things Like These,6.7,27000,"Period Drama, Drama, History",98
Blink Twice,6.5,111000,"Psychological Thriller, Whodunnit, Mystery, Thriller",102
Freaky Tales,6.2,7100,"Action, Adventure, Comedy, Crime, Drama",107
Cells at Work!,6.7,672,"Action, Adventure, Comedy, Fantasy",0
Juror #2,7.0,104000,"Legal Drama, Legal Thriller, Whodunnit, Crime, Drama, Mystery, Thriller",114
Sonic the Hedgehog 3,6.9,64000,"Animal Adventure, Fantasy Epic, Globetrotting Adventure, Superhero, Supernatural Fantasy, Action, Adventure, Comedy, Family, Fantasy",110
The Count of Monte-Cristo,7.6,37000,"Period Drama, Swashbuckler, Action, Adventure, Drama, Romance, Thriller",0
Wolfs,6.5,87000,"Conspiracy Thriller, Gangster, Crime, Thriller",108
The Luckiest Man in America,6.2,3400,Thriller,91
It Ends with Us,6.3,88000,"Drama, Romance",130
Dirty Angels,4.4,3900,"Action, Drama, Thriller, War",104
Paddington in Peru,6.7,25000,"Animal Adventure, Jungle Adventure, Adventure, Animation, Comedy, Family, Mystery",106
Abigail,6.5,100000,"Dark Comedy, Monster Horror, Splatter Horror, Vampire Horror, Horror, Thriller",109
Better Man,7.6,31000,"Docudrama, Psychological Drama, Biography, Fantasy, Music, Musical",135
Sew Torn,6.2,544,"Comedy, Thriller",0
Amongst the Wolves,5.4,229,Thriller,0
Outbreak,4.4,1100,"Horror, Mystery, Thriller",0
Caddo Lake,6.8,45000,"Time Travel, Whodunnit, Drama, Mystery, Sci-Fi, Thriller",103
The Apprentice,7.1,60000,"Docudrama, Period Drama, Biography, Drama, History",122
Subservience,5.4,29000,"Artificial Intelligence, Sci-Fi, Thriller",106
The Last Showgirl,6.5,14000,"Workplace Drama, Drama",88
Rebel Ridge,6.8,91000,"One-Person Army Action, Action, Crime, Drama, Thriller",131
Saturday Night,6.9,33000,"Docudrama, Period Drama, Showbiz Drama, Biography, Comedy, Drama, History",109
Fight or Flight,6.4,14000,"Martial Arts, One-Person Army Action, Action, Comedy",102
MaXXXine,6.2,74000,"Serial Killer, Slasher Horror, Crime, Horror",103
Challengers,7.0,158000,"Psychological Drama, Steamy Romance, Comedy, Drama, Romance, Sport",131
Borderlands,4.7,50000,"Action Epic, Adventure Epic, Dark Comedy, Quest, Space Sci-Fi, Action, Adventure, Comedy, Sci-Fi, Thriller",101
